pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-1654 b,Kepler-1654,2018,1047.8356,2.026,9.180171,158.9,206.0,5597.0,1.18,1.01,577.6,1,1
Kepler-1655 b,Kepler-1655,2018,11.8728787,0.103,2.208173,4.998994000000001,,6148.0,1.03,1.03,214.58,1,1
Kepler-1656 b,Kepler-1656,2018,31.562,0.1974,4.8803986,47.79712000000001,651.0,5731.0,1.1,1.03,186.88,2,1
Kepler-1656 c,Kepler-1656,2022,1919.0,3.053,,126.38906,,5731.0,1.1,1.03,186.88,2,1
Kepler-1657 b,Kepler-1657,2018,141.241671,0.534,11.09691,613.354,347.0,5830.0,0.96,1.01,946.59,1,1
Kepler-1659 b,Kepler-1659,2019,13.6088,0.112293,1.9055300000000002,9.000096000000001,660.0,5370.0,0.97,1.02,1168.99,2,1
Kepler-1659 c,Kepler-1659,2019,20.4415,0.14728,1.9055300000000002,4.598566,755.0,5370.0,0.97,1.02,1168.99,2,1
Kepler-247 e,Kepler-247,2026,31.101659,,,66.06422904200001,,5100.0,0.77,0.884,676.38,4,1
Kepler-165 b,Kepler-165,2014,8.180848,0.072,2.3202629999999997,,,5155.0,0.7278,0.87,560.885,2,1
Kepler-165 c,Kepler-165,2014,15.31299,0.11,2.230591,,,5155.0,0.7278,0.87,560.885,2,1
Kepler-1660 (AB)b,Kepler-1660 (AB),2014,239.48,1.0,,1554.042,,6305.24,1.881,1.24,1188.54,1,1
Kepler-1661 (AB)b,Kepler-1661 (AB),2019,175.06,,,16.8434,,,,1.1,415.5,1,1
Kepler-1662 b,Kepler-1662,2017,134.4786723,0.5187,8.8595936,70.99652,372.0,5922.0,1.14,1.08,887.81,2,1
Kepler-1662 c,Kepler-1662,2017,284.060953,0.8539,5.4397277,15.000160000000001,290.0,5922.0,1.14,1.08,887.81,2,1
Kepler-1663 b,Kepler-1663,2020,17.6046,,3.3066549999999997,,,3793.47,0.71,,341.22,1,1
Kepler-1664 Ab,Kepler-1664 A,2020,14.3868,0.1189,3.037639,,810.0,5945.95,1.146,1.081,593.62,1,1
Kepler-1665 Ab,Kepler-1665 A,2020,11.95474513,0.1006,2.835877,,906.0,5049.84,0.777,0.842,338.8,1,1
Kepler-1666 b,Kepler-1666,2020,25.8476,0.1761,2.880713,,672.0,5818.75,1.21,1.084,1434.42,2,1
Kepler-1666 c,Kepler-1666,2020,40.7157,0.2383,3.2394009999999995,,578.0,5818.75,1.21,1.084,1434.42,2,1
Kepler-1667 b,Kepler-1667,2020,83.5781,0.386,2.981594,,520.0,5951.0,1.06,1.094,638.35,1,1
