pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,pl_dens,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-288 d,Kepler-288,1,3,0,0,Transit,2014,56.633742,0.287,2.67,0.238,7.61,0.0239,0.0,12.659,570.0,2.2,89.75,5918.0,1.091,0.842,-0.24,4.353,12.3,0.8,1194.15,15.283,13.587,15.152
PSR B0329+54 b,PSR B0329+54,1,1,0,0,Pulsar Timing,2017,10140.0,10.26,1.22,0.109,1.97,0.00619828,0.236,,,5.96,,,,1.44,,,,,504.93312058,20.8671,15.556,20.1861
NGTS-18 b,NGTS-18,1,1,0,0,Transit,2021,3.05125,0.0448,13.56286665,1.21,129.99181846,0.409,0.0,845.0,1381.0,0.28,,5610.0,1.392,1.003,0.15,4.16,10.84,0.53884,1096.19,14.588,12.87,14.3896
K2-166 b,K2-166,1,2,0,0,Transit,2018,8.52695,0.0858,2.19,0.19537871,5.43,0.0171,,390.3952,1140.0,2.84,87.42879,5960.0,1.61,1.16,0.09,4.09,,0.422931,476.882,12.081,10.637,11.9456
Kepler-295 c,Kepler-295,1,3,0,0,Transit,2014,21.526258,0.142,1.17,0.104,1.71,0.00537,0.0,141.4,621.0,5.87,86.2,5603.0,0.898,0.89,-0.03,4.444,6.46,0.1,1699.19,14.631,12.717,14.4325
HD 8673 b,HD 8673,2,1,0,0,Radial Velocity,2009,1644.69097,2.97,12.3,1.1,4210.59073594,13.248,0.73,0.3841,219.11,12.4,95.45,6389.05,1.50225,1.28,0.1474,4.19179,,0.53229,37.8619,6.331,5.169,6.2242
HATS-17 b,HATS-17,1,1,0,0,Transit,2016,16.254611,0.1308,8.709393,0.777,425.25654,1.338,0.029,72.7,814.0,3.5,89.08,5846.0,1.091,1.131,0.3,4.416,2.1,1.22,400.331,12.402,10.698,12.2179
Kepler-323 c,Kepler-323,1,2,0,0,Transit,2014,3.5538229,0.0458,1.57,0.14006626,6.8,0.02139519,0.095,700.0,1431.0,9.6,88.7,6004.0,1.12,1.015,-0.14,4.38,5.4,0.74,454.883,12.78,11.354,12.658
Kepler-626 b,Kepler-626,1,1,0,0,Transit,2016,14.48585199,0.10913,2.29,0.20430012,5.86,0.0184,0.0,69.795,784.0,2.68,86.48,5813.0,1.05,1.01,0.01,4.4,5.37,0.93,635.643,14.086,12.388,13.9435
KMT-2021-BLG-1898L b,KMT-2021-BLG-1898L,1,1,0,0,Microlensing,2022,,1.9,14.0,1.25,232.01473711,0.73,,,,0.465,,,,0.48,,,,,6900.0,,,
TOI-431 d,TOI-431,1,3,0,0,Transit,2021,12.46103,0.098,3.29,0.29351465,9.9,0.03114888,0.0,28.3588,633.0,1.36,89.7,4850.0,0.731,0.78,0.2,4.6,,2.93977,32.5686,9.12,6.723,8.79171
GJ 3929 c,GJ 3929,1,2,0,0,Radial Velocity,2022,15.04,0.081,2.26,0.201,5.71,0.01796567,0.0,1.68,317.0,2.72,,3384.0,0.32,0.313,-0.02,4.89,7.1,13.3,15.8095,12.675,7.869,11.5109
TOI-199 b,TOI-199,1,2,0,0,Transit,2023,104.854,0.4254,9.07927437,0.81,54.03082919,0.17,0.09,8.5419,325.0,0.397,90.0,5255.0,0.82,0.936,0.22,4.582,0.8,2.39,102.27,10.701,8.814,10.5784
