pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
TRAPPIST-1 d,TRAPPIST-1,1,1,7,0,0,2016.0,0,4.049219,0.02227,0.788,0.07030077,0.388,0.00122078,Mass,1.115,,2566.0,0.1192,0.0898,5.2396,
TRAPPIST-1 e,TRAPPIST-1,1,1,7,0,0,2017.0,0,6.101013,0.02925,0.92,0.08207704,0.692,0.00217728,Mass,0.646,,2566.0,0.1192,0.0898,5.2396,
TRAPPIST-1 f,TRAPPIST-1,1,1,7,0,0,2017.0,0,9.20754,0.03849,1.045,0.09322882,1.039,0.00326906,Mass,0.373,,2566.0,0.1192,0.0898,5.2396,
TRAPPIST-1 g,TRAPPIST-1,1,1,7,0,0,2017.0,0,12.352446,0.04683,1.129,0.10072281,1.321,0.00415633,Mass,0.252,,2566.0,0.1192,0.0898,5.2396,
TRAPPIST-1 h,TRAPPIST-1,1,1,7,0,0,2017.0,0,18.772866,0.06189,0.755,0.0673567,0.326,0.00102571,Mass,0.144,,2566.0,0.1192,0.0898,5.2396,
TWA 7 b,TWA 7,1,1,1,0,0,2025.0,0,,52.0,,,108.06165838,0.34,Mass,,316.0,,,0.46,,33.9958
TYC 0434-04538-1 b,TYC 0434-04538-1,1,1,1,0,0,2021.0,0,193.2,0.66,,,1938.763,6.1,Msini,,,4679.0,9.99,1.04,2.49,613.422
TYC 1422-614-1 b,TYC 1422-614-1,1,1,2,0,0,2014.0,0,198.4,0.69,,,794.5,2.5,Msini,,,4806.0,6.85,1.15,2.85,672.41
TYC 1422-614-1 c,TYC 1422-614-1,1,1,2,0,0,2014.0,0,559.3,1.37,,,3178.0,10.0,Msini,,,4806.0,6.85,1.15,2.85,672.41
TYC 2187-512-1 b,TYC 2187-512-1,1,1,1,0,0,2022.0,0,691.9,1.22,,,104.88337431,0.33,Msini,,,3734.0,0.495,0.498,4.68,15.4744
TYC 3318-01333-1 b,TYC 3318-01333-1,1,1,1,0,0,2018.0,0,562.0,1.414,,,1086.9786,3.42,Msini,,,4776.0,5.9,1.19,2.97,490.61
TYC 3667-1280-1 b,TYC 3667-1280-1,1,1,1,0,0,2016.0,0,26.468,0.21,,,1716.282,5.4,Msini,,1350.0,5130.0,6.26,1.87,3.11,477.516
TYC 4282-00605-1 b,TYC 4282-00605-1,1,1,1,0,0,2017.0,0,101.54,0.422,,,3426.2074,10.78,Msini,,,4300.0,16.21,0.97,2.0,464.128
TYC 8998-760-1 b,TYC 8998-760-1,1,1,2,0,0,2020.0,0,,146.0,,,4449.62,,,,,4573.0,,1.0,,94.6177
TYC 8998-760-1 c,TYC 8998-760-1,1,1,2,0,0,2020.0,0,,320.0,12.3299,1.1,1906.98,6.0,Mass,,1240.0,,,1.0,,94.6177
Teegarden's Star b,Teegarden's Star,1,1,3,0,0,2019.0,0,4.90634,0.0259,,,1.16,0.00364977,Msini,1.08,277.0,3034.0,0.12,0.097,5.19,3.83078
Teegarden's Star c,Teegarden's Star,1,1,3,0,0,2019.0,0,11.416,0.0455,,,1.05,0.00330367,Msini,0.35,209.0,3034.0,0.12,0.097,5.19,3.83078
Teegarden's Star d,Teegarden's Star,1,1,3,0,0,2024.0,0,26.13,0.0791,,,0.82,0.00258001,Msini,0.12,159.0,3034.0,0.12,0.097,5.19,3.83078
TrES-1 b,TrES-1,1,2,1,0,0,2004.0,0,3.03007,,12.66617,1.13,266.9772,0.84,Mass,,,5230.0,0.85,1.04,4.57,159.658
TrES-2 b,TrES-2,1,2,1,0,0,2006.0,0,2.47063,,15.24424,1.36,473.5667,1.49,Mass,,,5850.0,1.12,1.36,4.43,215.32
TrES-3 b,TrES-3,1,1,1,0,0,2007.0,0,1.30618581,0.02282,14.975,1.336,607.03,1.91,Mass,,,5650.0,0.829,0.928,4.4,231.337
TrES-4 b,TrES-4,1,2,1,0,0,2007.0,0,3.55395,,18.04649,1.61,247.9074,0.78,Mass,,,6200.0,1.66,1.08,4.06,515.98
