pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
K2-266 b,K2-266,1,2,4,0,0,2018,0,0.65852400000,0.0130600000,3.30000000,0.29440628,11.26782377,0.03545236,Msin(i)/sin(i),879.5000,1515.00,4285.00,0.703000,0.686000,4.581000,77.55860000
K2-266 c,K2-266,1,2,4,0,0,2018,0,7.81400000000,0.0679000000,0.70500000,0.06289589,0.29013072,0.00091285,Msin(i)/sin(i),32.4000,664.50,4285.00,0.703000,0.686000,4.581000,77.55860000
K2-266 d,K2-266,1,2,4,0,0,2018,0,14.69700000000,0.1035000000,2.93000000,0.26139709,8.90000000,0.02800239,Mass,13.9500,538.30,4285.00,0.703000,0.686000,4.581000,77.55860000
K2-266 e,K2-266,1,2,4,0,0,2018,0,19.48200000000,0.1249000000,2.73000000,0.24355429,14.30000000,0.04499261,Mass,9.5810,490.10,4285.00,0.703000,0.686000,4.581000,77.55860000
K2-268 b,K2-268,1,1,5,0,0,2018,0,2.15167600000,,1.50000000,0.13382127,,,,,1136.00,5106.00,0.780000,0.840000,4.580000,327.78300000
K2-268 c,K2-268,1,1,5,0,0,2018,0,9.32752700000,,2.69000000,0.23998614,,,,,696.00,5106.00,0.780000,0.840000,4.580000,327.78300000
K2-268 d,K2-268,1,1,5,0,0,2021,0,4.52859800000,,1.49000000,0.13292913,,,,,888.00,5106.00,0.780000,0.840000,4.580000,327.78300000
K2-268 e,K2-268,1,1,5,0,0,2021,0,6.13124300000,,1.33000000,0.11865486,,,,,801.00,5106.00,0.780000,0.840000,4.580000,327.78300000
K2-268 f,K2-268,1,1,5,0,0,2021,0,26.27057000000,,2.23000000,0.19894762,,,,,492.00,5106.00,0.780000,0.840000,4.580000,327.78300000
K2-269 b,K2-269,1,1,1,0,0,2018,0,4.14496500000,0.0531000000,1.57000000,0.14006602,,,,,1429.00,6209.00,1.450000,1.160000,4.180000,360.76000000
K2-27 b,K2-27,1,3,1,0,0,2016,0,6.77134700000,,4.74000000,0.42287520,30.20000000,0.09501983,Mass,116.0000,836.00,5246.00,0.876000,0.880000,4.480000,249.64500000
K2-270 b,K2-270,1,1,2,0,0,2018,0,1.54306900000,0.0247000000,1.38000000,0.12311535,,,,,1203.00,4877.00,0.770000,0.850000,4.590000,280.51800000
K2-270 c,K2-270,1,1,2,0,0,2018,0,4.40002800000,0.0497000000,2.95000000,0.26318137,,,,,848.00,4877.00,0.770000,0.850000,4.590000,280.51800000
K2-271 b,K2-271,1,1,1,0,0,2018,0,8.56242100000,0.0770000000,7.28000000,0.64947810,,,,,893.00,5644.00,0.990000,0.830000,4.370000,564.45400000
K2-272 b,K2-272,1,1,1,0,0,2018,0,14.45367560000,0.1007000000,3.13000000,0.27924038,,,,,747.00,5397.00,0.830000,0.860000,4.530000,423.06500000
K2-273 b,K2-273,1,1,1,0,0,2018,0,11.71956630000,0.0729000000,3.05000000,0.27210324,,,,,849.00,5161.00,0.850000,0.890000,4.530000,308.10500000
K2-274 b,K2-274,1,1,1,0,0,2018,0,14.13303140000,0.0964000000,2.08000000,0.18556549,,,,,655.00,5044.00,0.700000,0.790000,4.640000,228.32700000
K2-275 b,K2-275,1,1,2,0,0,2018,0,3.28096260000,0.0277000000,2.34000000,0.20876118,,,,,1166.00,4841.00,0.690000,0.770000,4.650000,123.43800000
